Year,Month,Stock_lag_MV,Stock_Excess_Vw_Ret,Bond_lag_MV,Bond_Excess_Vw_Ret
1958,12,244.707829125,0.0515244479230691,0.155316,-0.0075119671434967
1959,1,263.460049875,0.007131743203322401,0.165858,-0.0028258010558778997
1959,2,266.351456125,0.0094710860007239,0.168674,0.0053668669336688
1959,3,268.1903008125,0.0028208342650092003,0.157857,-0.0040066796461500995
1959,4,268.7184104375,0.036616127458571304,0.172687,-0.005803673569910199
1959,5,279.109147,0.0172875915800828,0.178075,-0.0012315980309027
1959,6,283.8020374375,-0.002535599323861792,0.172638,-0.0027691346160543
1959,7,283.28700875,0.0320958159493534,0.175618,0.0014160138858308
1959,8,292.7519663125,-0.0138591885153096,0.16246,-0.0065918121455548
1959,9,288.06882375,-0.0478704785359333,0.18282,-0.0003509029815994
1959,10,274.5763715,0.0128083749586103,0.180937,0.0068441183323644
1959,11,278.8126148125,0.0159863364372316,0.181886,-0.0041970844140783
1959,12,282.6962778125,0.0253454802438519,0.175284,-0.0056392357233537
1960,1,294.435260875,-0.0698062414501333,0.185999,0.0069638731826458
1960,2,274.6403815,0.011686495507537201,0.186872,0.0034626539405032
1960,3,277.964586125,-0.0161163748880622,0.175442,0.0167731229278756
1960,4,273.8447715625,-0.0170555484881856,0.183374,-0.005952728606452001
1960,5,269.6010668125,0.0312162484987041,0.1807,0.0033540592614227996
1960,6,277.75824625,0.0212485306517957,0.179722,0.0118718561369159
1960,7,283.770244875,-0.0236444778456165,0.177607,0.014874689402989002
1960,8,277.4905660625,0.030083661185639196,0.180079,-0.0016237939724851242
1960,9,284.9227579375,-0.0599048771405786,0.17504,0.0010552093415074001
1960,10,268.2575578125,-0.0070639213305149,0.182611,-0.0010328660372131999
1960,11,266.6235194375,0.0469643710995478,0.183646,-0.0051050160380561
1960,12,277.9174534375,0.0471097594596352,0.17633,0.0125940003185644
1961,1,294.8866295625,0.0619452903635897,0.187,-0.0048320062065915
1961,2,313.6025300625,0.0354489622125774,0.18541,0.0042458693101547
1961,3,323.9882046875,0.028877055026553,0.180322,3.955765619699948e-06
1961,4,334.79345475,0.0028978056676094996,0.183427,0.0034001703060760995
1961,5,336.4813049375,0.024043943495437398,0.184355,-0.0012764576554186
1961,6,343.95165075,-0.0307177457651266,0.178144,-0.0040006145432966
1961,7,333.417669625,0.0283179263775603,0.184731,0.00037043023767529973
1961,8,344.5957078125,0.025798687068885,0.174038,-0.001297232466386422
1961,9,352.5663476875,-0.021459013028815,0.187044,0.0036570655644273995
1961,10,345.361608625,0.025697851327365,0.186994,0.0015472515819795
1961,11,355.030186125,0.044428629312605605,0.190247,-0.0013068160796122
1961,12,369.6879894375,-0.0017371903757008,0.188559,-0.0015630060945348
1962,1,372.023428625,-0.038680729744192406,0.193557,-0.0004965791915373999
1962,2,358.8773964375,0.018100736720420698,0.189241,0.0047076262547181
1962,3,365.88872875,-0.0068098265959644,0.181022,0.006101554960355599
1962,4,363.3186880625,-0.0658613723146631,0.185947,0.0027788500617941
1962,5,340.1502250625,-0.08634883952422731,0.189176,-0.0005068876760299999
1962,6,310.0515091875,-0.08471167076303199,0.180778,-0.0040112774532424
1962,7,282.830188125,0.0626265511042868,0.18977,-0.0015412553080579997
1962,8,323.58815475,0.021429181194963197,0.187929,0.0059509204574987005
1962,9,329.5631871875,-0.052150678995210795,0.185096,0.0020503339645991997
1962,10,312.67477346875,-0.0005048708157860001,0.184367,0.0025196006461335996
1962,11,312.62498365625,0.10852210664671491,0.1928,0.0005255763882003003
1962,12,344.94307221875,0.0099309254195611,0.185815,0.00037200348400500023
1963,1,350.0994860625,0.04932901985782,0.195766,-9.693358472209973e-05
1963,2,367.9336263125,-0.0238442423373734,0.194686,-0.00032836580089899985
1963,3,358.43411521875,0.030795620499906202,0.191837,-0.00012840615747939993
1963,4,369.949010375,0.044961448886724,0.192613,-0.0008298195930492001
1963,5,387.755625125,0.0175527198122745,0.193289,-0.0004963103081937999
1963,6,393.624210375,-0.0200197703006022,0.193135,-0.00037359982150120025
1963,7,386.35461540625,-0.0040126652965531,0.196331,-0.0011033757866461
1963,8,385.32347640625,0.0506929249008011,0.194122,-0.0005664114405279001
1963,9,404.38391690625,-0.015568535675365,0.191565,-0.00029935645277589986
1963,10,398.71641190625,0.0253786504876597,0.193017,-0.0021315161356038003
1963,11,409.29862771875,-0.0084764764937264,0.196059,0.00015126070090310017
1963,12,402.8293859375,0.0180250976387045,0.191403,-0.0017477874754476999
1964,1,412.88114278125,0.0224708616515977,0.197994,0.0008447924661382999
1964,2,425.45135590625,0.015419687791871101,0.199915,-0.0013812642119585
1964,3,432.4916441875,0.013898669794406798,0.196834,-0.0018417550592668
1964,4,439.57174196875,0.0010528742731825999,0.199891,0.0019456452186845997
1964,5,442.99596234375,0.0141620869975091,0.200663,0.00236224179241
1964,6,448.67442053125,0.012536125417375699,0.191902,0.0022455910325845
1964,7,454.95100275,0.0175861774213835,0.199368,0.0004097605757112997
1964,8,464.57063878125,-0.0143536553160488,0.195398,-0.0007929839663085004
1964,9,456.98820375,0.0270329372422519,0.196636,0.0007102631064203999
1964,10,470.42605065625,0.0059061427264212995,0.19937,0.00023417849643389988
1964,11,473.81104228125,-4.6177507006799935e-05,0.203034,-0.0017997464092789001
1964,12,470.2990271875,0.0004010862792970999,0.194972,0.0015802689655405
